"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000172061",520.858338242887,5.01187076206906,0.210956792009999,23.7578070576249,9.12458185683366e-125,3.28795659054531e-124,"ENSG00000172061"
"ENSG00000123500",903.536473018349,4.32457847504689,0.174399423076115,24.7969769553622,9.66399125375946e-136,3.75327950014495e-135,"ENSG00000123500"
"ENSG00000196090",264.222839798725,4.23455482977885,0.222318723593873,19.0472253588251,6.92781994204531e-81,1.8077475906639e-80,"ENSG00000196090"
"ENSG00000060718",1717.13755805548,4.08748173724572,0.183000237440273,22.3359367966928,1.65423919098474e-110,5.39727413741022e-110,"ENSG00000060718"
"ENSG00000122585",70.7536908506943,4.01331527170834,0.242589058795396,16.5436779862905,1.77825703676067e-61,3.9515993202439e-61,"ENSG00000122585"
"ENSG00000183036",586.149887219848,3.7389582706006,0.212151591700156,17.6239934880387,1.61212241331206e-69,3.81871647015405e-69,"ENSG00000183036"
"ENSG00000182667",210.63804049491,3.58073291527781,0.181858323554227,19.6896839544993,2.64333583241189e-86,7.17102540896836e-86,"ENSG00000182667"
"ENSG00000251493",68.8611619117042,3.46502617577886,0.233004229743954,14.8710870166887,5.07820619491657e-50,1.02906124003461e-49,"ENSG00000251493"
"ENSG00000099953",7064.01753576111,3.37566611098434,0.164050656380957,20.5769741216115,4.41388262949561e-94,1.27919589150966e-93,"ENSG00000099953"
"ENSG00000136542",136.218200106826,3.35100584088882,0.15393800859705,21.7685409303979,4.61075295483789e-105,1.45009870521383e-104,"ENSG00000136542"
"ENSG00000096006",192.530210060571,3.35064834893912,0.254587811748086,13.1610713251842,1.4698679448362e-39,2.69538053239198e-39,"ENSG00000096006"
"ENSG00000165887",56.0773212377602,3.2700560220622,0.162897019961722,20.0743759636033,1.23625455192253e-89,3.44687660331394e-89,"ENSG00000165887"
"ENSG00000162598",32.2205228647817,3.26641618521978,0.236266929024972,13.8251095855846,1.79838391068905e-43,3.42562676279459e-43,"ENSG00000162598"
"ENSG00000101230",325.718859954311,3.24908982331789,0.156220137739863,20.7981497796927,4.49829225124915e-96,1.32371881542599e-95,"ENSG00000101230"
"ENSG00000198515",53.9596042594645,3.19215226795344,0.166159657138186,19.2113556499379,2.97397790622396e-82,7.83631329772459e-82,"ENSG00000198515"
"ENSG00000133110",2627.3766923684,3.15901314061185,0.192580551843893,16.4035937708422,1.80252236987677e-60,3.97270724480061e-60,"ENSG00000133110"
"ENSG00000116031",64.3253439974816,3.13871239820644,0.158837395999434,19.7605379920584,6.51071438338397e-87,1.77476505937582e-86,"ENSG00000116031"
"ENSG00000198796",65.1963020367165,3.10150125704981,0.174451824392775,17.7785544395731,1.03617298947079e-70,2.47885061972417e-70,"ENSG00000198796"
"ENSG00000243910",55.5743300362675,3.08953332527101,0.201943063454289,15.2990316796415,7.76026256417006e-53,1.6129193096906e-52,"ENSG00000243910"
"ENSG00000123496",31.8596683867981,3.0810814593421,0.188134967370829,16.3769739480117,2.7929704397437e-60,6.14709093040096e-60,"ENSG00000123496"
"ENSG00000118137",3291.71862504741,3.07735511301416,0.161674351744743,19.034281441702,8.87007468551759e-81,2.31152020166181e-80,"ENSG00000118137"
"ENSG00000180044",66.8253945077045,3.0647536866643,0.137677069072769,22.2604512669022,8.93435525166925e-110,2.89891702595556e-109,"ENSG00000180044"
"ENSG00000185681",58.5347404572932,3.02583451851966,0.174625085706631,17.3276050590065,2.91204948410498e-67,6.769619428998e-67,"ENSG00000185681"
"ENSG00000074803",123.574165324291,2.99995436075224,0.179893327827951,16.6762958747497,1.94937728738953e-62,4.36855367538246e-62,"ENSG00000074803"
"ENSG00000117600",109.047871150734,2.99621052728259,0.163064148523172,18.3744284345668,2.10513635061582e-75,5.22596642060132e-75,"ENSG00000117600"
